Classification Level,Count
Propionibacterium,45
Corynebacterium,13660
Cutibacterium,12129
Microbacterium,1214
Quadrisphaera,21
Bifidobacterium,544
Gordonia,320
Mycobacterium,2597
Micrococcus,592
Streptomyces,4521
Lawsonella,1177
Rothia,1297
Nocardia,440
Saccharopolyspora,58
Tetrasphaera,86
Clavibacter,64
Arthrobacter,654
Actinomyces,1132
Brachybacterium,194
Curtobacterium,282
Paenarthrobacter,145
Turicella,96
Streptosporangium,301
Rhodococcus,797
Pseudarthrobacter,434
uncultured,353
Micromonospora,555
Cellulomonas,119
Nonomuraea,313
Nocardioides,380
Kocuria,636
Janibacter,219
hgcI clade,265
Nocardiopsis,265
Brevibacterium,393
Marmoricola,42
Pseudoclavibacter,54
Salinibacterium,25
Dietzia,248
Streptacidiphilus,22
Sanguibacter-Flavimobilis,34
Actinoplanes,68
Agrococcus,72
Citricoccus,30
Glutamicibacter,211
Actinomadura,184
Agromyces,101
Leucobacter,135
Lechevalieria,38
Arcanobacterium,35
Pseudonocardia,217
Kitasatospora,100
Cellulosimicrobium,73
Tsukamurella,51
Paeniglutamicibacter,58
F0332,66
Saccharothrix,23
Parafrigoribacterium,25
Blastococcus,58
Trueperella,43
Tessaracoccus,62
Microlunatus,29
Nesterenkonia,45
Leifsonia,65
Asanoa,25
Dermabacter,60
Amycolatopsis,150
Candidatus Aquiluna,91
Georgenia,20
Pseudopropionibacterium,72
Gardnerella,27
Verrucosispora,57
Ornithinimicrobium,24
Varibaculum,40
Frigoribacterium,41
Salinispora,86
Crossiella,145
Actinoallomurus,32
Thermobifida,28
Williamsia,37
Isoptericola,34
Aeromicrobium,56
Propioniciclava,26
Actinocorallia,26
Geodermatophilus,28
Jatrophihabitans,37
Terrabacter,20
Saccharomonospora,69
Friedmanniella,31
Promicromonospora,31
Kribbella,45
Longispora,20
Modestobacter,37
Rathayibacter,24
Dactylosporangium,29
Frankia,28
Nakamurella,31
Glycomyces,40
Microbispora,40
Haloactinopolyspora,26
Cryobacterium,73
Kytococcus,20
Acidothermus,27
Demequina,24
Plantibacter,22
Actinopolyspora,22
Candidatus Limnoluna,20
Dermacoccus,31
Acidipropionibacterium,23
Candidatus Planktophila,26
